version,messageRealm,serviceAction,messageParams.subscriber,messageParams.calledMessageQueue,messageParams.type,messageParams.messageID,messageParams.correlationID,messageParams.transactionID,messageParams.originatingMS,messageParams.terminatingMS,serviceData.httpParams.statusCode,message_id_length,correlation_id_length,transaction_id_length,anomaly
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,eb5f77dd-1e50-4141-b525-1af67c6a2198,2e9a8a0f64e8949450776ab28fc8354c,b3976ca7-6a4a-4559-a635-db620dadbafc,addressbookbroker,restamqpgw,204.0,36,32,36,no
1,internal,delete_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,5d6f2567-1ac9-4537-aa41-8727810972de,2e9a8a0f64e8949450776ab28fc8354c,b3976ca7-6a4a-4559-a635-db620dadbafc:63acbfdf-b827-40fe-883b-5ec10b6a50f5,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-v5g82,request,8bdf3867-70f1-4ddb-96bb-6889399bfa96,7aba09256533dfa212c04dafefb0f1fa,314a5e1d-5ed2-4473-ac78-018dbe01b8ba,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,4415e003-02e6-46fa-9140-b85b14668d05,7aba09256533dfa212c04dafefb0f1fa,314a5e1d-5ed2-4473-ac78-018dbe01b8ba,addressbookbroker,restamqpgw,429.0,36,32,36,yes
1,internal,create_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,a386e7f9-dba4-44d4-9969-ae4df042c608,7aba09256533dfa212c04dafefb0f1fa,314a5e1d-5ed2-4473-ac78-018dbe01b8ba:8deef4e6-4bae-44f8-ba7c-e877eb806e3d,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,fe04521f-a43a-4d4b-ba5c-a3295efce0f2,f2ad872bb1c3b37129bcfb3976afd92d,130fdf28-a945-4950-92e5-9f454daf904c,restamqpgw,addressbookbroker,0.0,16,32,36,yes
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,4ce70c8f-8acb-4acd-b7d7-b8c68bbf44a7,f2ad872bb1c3b37129bcfb3976afd92d,130fdf28-a945-4950-92e5-9f454daf904c,addressbookbroker,restamqpgw,502.0,36,32,36,yes
1,internal,load_contact,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,de80f4bf-a9ac-444d-a4c3-28af56004761,f2ad872bb1c3b37129bcfb3976afd92d,130fdf28-a945-4950-92e5-9f454daf904c:5db1e415-e8cf-4d7a-b1cd-f701c2b21a6e,addressbookbroker,restamqpgw,400.0,36,32,36,yes
1,external,addressbook,IhrblzMlQ7gbooyH,restamqpgw-restamqpgw-648688f875-cqpgf,request,2ab03720-5b57-404a-8dcb-d56068383621,3863192b1dc77f7bb0ed8c07f2af7a36,e9ebc8e7-29e3-43cc-a3e9-e1bda445b7c9,restamqpgw,addressbookbroker,0.0,36,32,36,no
1,internal,addressbook,IhrblzMlQ7gbooyH,addressbookbroker-addressbookbroker-5f97c9778-q7vb7,response,c10d515c-30b4-44b2-b104-2005f61f3919,3863192b1dc77f7bb0ed8c07f2af7a36,e9ebc8e7-29e3-43cc-a3e9-e1bda445b7c9,addressbookbroker,restamqpgw,200.0,36,32,36,no
